FID,geom,addr:city,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,building,description,name,opening_hours,type,wheelchair,osm_id,osm_type,editlink,tutoriallink,check_date,diet:vegetarian,opening_hours:signed,cuisine,operator,phone,atm,contact:website,source,toilets:wheelchair,addr:country,image,website,name:de,outdoor_seating,takeaway,contact:email,contact:phone,building:levels,roof:levels,roof:shape,smoking,contact:fax,source:date,addr:housename,diet:vegan,toilets,delivery,email,fax,payment:cash,source:geometry,building:first_floor_high,contact:mobile,shop,internet_access,was:military,was:name,building:part,int_name,internet_access:fee,addr:place,source:addr,disused:phone,height,opening_hours:covid19,roof:colour,start_date:name,seasonal,air_conditioning,indoor_seating,wifi,sport,building:colour,toilets:access,building:material,old_name,source:housenumber,tourism,ele,name:en,check_date:opening_hours,bar,smoking:outside,contact:facebook,note,brand,brand:wikidata,level,alt_name,start_date,update,lastcheck,wheelchair:description:de,wheelchair:description:en,changing_table,changing_table:count,toilets:disposal,toilets:female,toilets:male,toilets:unisex,craft,capacity,designation,diet:gluten_free,owner,outdoor,source:name,menu_languages,number_of_menulanguages,contact:instagram,internet_access:ssid,last_check,brand:wikipedia,fixme,breakfast,cafe,payment:credit_cards,payment:debit_cards,rooms,seating,surveillance,payment:coins,payment:cryptocurrencies,payment:electronic_purses,payment:notes,payment:paypal,official_name,food,ref:vatin,wheelchair:description,drive_in,seating:indoor,seating:outdoor,gay,menu,drink:club-mate,music,cafe_€,cappuchino_€,opening_hours:kitchen,description:de,description:en,diet:local,dog,currency:eur,payment:account_cards,payment:apple_pay,payment:contactless,addr:floor,highchair,kids_area,drink:soy_milk,man_made,lottery,entrance,addr:unit,self_service,snack,url,old_name2,changing_table:location,access:covid19,delivery:covid19,organic,disused:amenity,description:covid19,takeaway:covid19,beer_garden,source:wheelchair,old_website,min_age,payment:girocard,alt_name_1,last_checked,status,access,survey:date,old_name1,diet:kosher,disused:name,was:shop,payment:mastercard,payment:visa,payment:avia_ringcard,payment:dkv,payment:euroshell,payment:notes:note,payment:total_card,payment:uta,payment:westfalen_card,takeaway:ice_cream,diet:halal,branch,payment:maestro,reservation,opening_hours:lastcheck,opening_hours:url,opening_date
MRN_OSM_amenity_cafe_4326_Point.1,POINT (7.917004146666666 49.33430581999999),Elmstein,8,67471,Eschkopfstraße,Iggelbach,cafe,yes,Kuchen und Torten aus eigener Herstellung,Cafe Nicklis,"Mo-Fr off; Sa ""vormittags""; Su ""nachmittags""",multipolygon,limited,6186122,relation,https://www.openstreetmap.org/relation/6186122,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.2,POINT (8.67539865 49.42180348333333),Heidelberg,585,69120,Im Neuenheimer Feld,,cafe,yes,,TP-Lounge,,,,25208386,way,https://www.openstreetmap.org/way/25208386,https://learnosm.org/de/beginner/,2023-08-15,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.3,POINT (8.2488918 49.0239487),,,,,,cafe,,,Eis-Café Barbarossa,,,,32923333,node,https://www.openstreetmap.org/node/32923333,https://learnosm.org/de/beginner/,,,,ice_cream,Kujtim Metaj,+49-7273-899911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.4,POINT (8.2518092 49.020476),,,,,,cafe,,,Bäckerei Mintzbrueck,,,,34993014,node,https://www.openstreetmap.org/node/34993014,https://learnosm.org/de/beginner/,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.5,POINT (8.1731155875 49.4634327875),Bad Dürkheim,7,67098,Salinenstraße,,cafe,yes,,Cafe Pompöös,,,yes,108588857,way,https://www.openstreetmap.org/way/108588857,https://learnosm.org/de/beginner/,,,,,,,,https://www.haraldgloeoeckler.de/pompoeoes-cafe/,https://www.haraldgloeoeckler.de/pompoeoes-cafe/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.6,POINT (9.324641699999999 49.52083431666667),Buchen (Odenwald),12,74722,Hofstraße,,cafe,yes,,Cafe + Konditorei Wittemann,,,yes,113176082,way,https://www.openstreetmap.org/way/113176082,https://learnosm.org/de/beginner/,,,,cake,,06281556068,,,,,DE,https://www.cafewittemann.de/s/misc/logo.png?t=1679869325,http://www.cafewittemann.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.7,POINT (8.29183835 49.15883395),Rülzheim,16a,76761,Neue Landstraße,,cafe,yes,,Eiscafé Venezia,Mo-Su 10:00-22:00,,,115906895,way,https://www.openstreetmap.org/way/115906895,https://learnosm.org/de/beginner/,,,,ice_cream,Nico Madeo,+49 7272 74245,,,,,DE,,http://venezia-di-madeo.de,Eiscafé Venezia di Madeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.8,POINT (8.621049266666667 49.68263875),Bensheim,10,64625,Rodensteinstraße,,cafe,yes,,Jardin,"Mo-Th 11:00-00:00; Fr,Sa 11:00-02:00; Su 11:00-24:00",,yes,117230467,way,https://www.openstreetmap.org/way/117230467,https://learnosm.org/de/beginner/,,,,,Barbara Samstag,+49 6251 4450,,,,,DE,,http://cafe-bar-jardin.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.9,POINT (9.202441949999999 49.534200633333334),Mudau,1,69427,Schloßauer Straße,,cafe,yes,,Leos Café,,,,117375405,way,https://www.openstreetmap.org/way/117375405,https://learnosm.org/de/beginner/,,,,ice_cream,,,,,,,DE,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRN_OSM_amenity_cafe_4326_Point.10,POINT (8.567533875 49.6536623),Lorsch,5,64653,Marktplatz,,cafe,yes,,Eiscafé Elisa,Tu-Su 11:00-18:00+,,,122428974,way,https://www.openstreetmap.org/way/122428974,https://learnosm.org/de/beginner/,,,,ice_cream,,06251 5500158,,,,,DE,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
